+----------------------------------------------------------------------+----------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------+
| ID                                                                   | Name                                                                 | Description                                                                                                                                     | Parent                                            |
+----------------------------------------------------------------------+----------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------+
| abyssalcraft:dreadium                                                | [不含瘟疫的锭]                                                             | 嬗变一些惧质锭                                                                                                                                         | abyssalcraft:mine_dreadlands_ores                 |
| abyssalcraft:ethaxium                                                | [构成灵魂之物……]                                                           | 合成一个伊塞斯锭                                                                                                                                        | abyssalcraft:dreadium                             |
| abyssalcraft:mine_abyssal_coralium                                   | [绿色材料]                                                               | 挖掘一些深渊珊瑚石。                                                                                                                                      | abyssalcraft:shadow_gems                          |
| abyssalcraft:mine_abyssal_ores                                       | [我不是在主世界见过这些矿石吗？]                                                    | 挖掘一些深渊之地的矿石。                                                                                                                                    | abyssalcraft:mine_abyssal_coralium                |
| abyssalcraft:mine_abyssalnite                                        | [比钻石好！]                                                              | 挖掘一些渊素矿石。                                                                                                                                       | abyssalcraft:root                                 |
| abyssalcraft:mine_coralium                                           | [海洋宝石]                                                               | 挖掘一些珊瑚宝石。                                                                                                                                       | abyssalcraft:mine_abyssalnite                     |
| abyssalcraft:mine_dreadlands_ores                                    | [恐惧之地的矿产]                                                            | 挖掘一些恐惧之地的矿石                                                                                                                                     | abyssalcraft:mine_abyssal_ores                    |
| abyssalcraft:root                                                    | [深渊国度]                                                               | 合成一本死灵之书，然后呢？                                                                                                                                   | -                                                 |
| abyssalcraft:shadow_gems                                             | [纯粹黑暗的宝石]                                                            | 获得一个阴影宝石。                                                                                                                                       | abyssalcraft:mine_coralium                        |
| aether_legacy:craft_altar                                            | [你相信魔法吗？]                                                            | 制作神能炉                                                                                                                                           | aether_legacy:enter_aether                        |
| aether_legacy:craft_incubator                                        | [我们，是家人了！]                                                           | 孵化恐鸟                                                                                                                                            | aether_legacy:enter_aether                        |
| aether_legacy:dethroned                                              | [废黜女王]                                                               | 击败白银地牢的武神女王                                                                                                                                     | aether_legacy:like_a_bossaru                      |
| aether_legacy:enter_aether                                           | [危机四伏的天堂]                                                            | 穿越荧石传送门来到天境                                                                                                                                     | -                                                 |
| aether_legacy:extinquished                                           | [熄灭魔焰]                                                               | 斩杀黄金地牢的烈阳巨灵                                                                                                                                     | aether_legacy:dethroned                           |
| aether_legacy:gravitite_tools                                        | [以粉代蓝]                                                               | 打造重力晶工具                                                                                                                                         | aether_legacy:craft_altar                         |
| aether_legacy:like_a_bossaru                                         | [王者降临！]                                                              | 除掉青铜地牢的滑行魔石                                                                                                                                     | aether_legacy:enter_aether                        |
| aether_legacy:loreception                                            | [传说复刻！]                                                              | 将一本天境传说塞进另一本里。                                                                                                                                  | aether_legacy:enter_aether                        |
| aether_legacy:mount_phyg                                             | [猪真的在飞！]                                                             | 骑飞天猪飞翔吧                                                                                                                                         | aether_legacy:to_infinity_and_beyond              |
| aether_legacy:recipes/building_blocks/aerogel_slab                   | aether_legacy:recipes/building_blocks/aerogel_slab                   | <null>                                                                                                                                          | minecraft:recipes/root                            |
| aether_legacy:recipes/building_blocks/aerogel_stairs                 | aether_legacy:recipes/building_blocks/aerogel_stairs                 | <null>                                                                                                                                          | minecraft:recipes/root                            |
| aether_legacy:recipes/building_blocks/aerogel_wall                   | aether_legacy:recipes/building_blocks/aerogel_wall                   | <null>                                                                                                                                          | minecraft:recipes/root                            |
| aether_legacy:recipes/building_blocks/angelic_slab                   | aether_legacy:recipes/building_blocks/angelic_slab                   | <null>                                                                                                                                          | minecraft:recipes/root                            |
| aether_legacy:recipes/building_blocks/angelic_stairs                 | aether_legacy:recipes/building_blocks/angelic_stairs                 | <null>                                                                                                                                          | minecraft:recipes/root                            |
| aether_legacy:recipes/building_blocks/angelic_wall                   | aether_legacy:recipes/building_blocks/angelic_wall                   | <null>                                                                                                                                          | minecraft:recipes/root                            |
| aether_legacy:recipes/building_blocks/carved_slab                    | aether_legacy:recipes/building_blocks/carved_slab                    | <null>                                                                                                                                          | minecraft:recipes/root                            |
| aether_legacy:recipes/building_blocks/carved_stairs                  | aether_legacy:recipes/building_blocks/carved_stairs                  | <null>                                                                                                                                          | minecraft:recipes/root                            |
| aether_legacy:recipes/building_blocks/carved_wall                    | aether_legacy:recipes/building_blocks/carved_wall                    | <null>                                                                                                                                          | minecraft:recipes/root                            |
| aether_legacy:recipes/building_blocks/hellfire_slab                  | aether_legacy:recipes/building_blocks/hellfire_slab                  | <null>                                                                                                                                          | minecraft:recipes/root                            |
| aether_legacy:recipes/building_blocks/hellfire_stairs                | aether_legacy:recipes/building_blocks/hellfire_stairs                | <null>                                                                                                                                          | minecraft:recipes/root                            |
| aether_legacy:recipes/building_blocks/hellfire_wall                  | aether_legacy:recipes/building_blocks/hellfire_wall                  | <null>                                                                                                                                          | minecraft:recipes/root                            |
| aether_legacy:recipes/building_blocks/holystone_brick                | aether_legacy:recipes/building_blocks/holystone_brick                | <null>                                                                                                                                          | minecraft:recipes/root                            |
| aether_legacy:recipes/building_blocks/holystone_brick_slab           | aether_legacy:recipes/building_blocks/holystone_brick_slab           | <null>                                                                                                                                          | minecraft:recipes/root                            |
| aether_legacy:recipes/building_blocks/holystone_brick_stairs         | aether_legacy:recipes/building_blocks/holystone_brick_stairs         | <null>                                                                                                                                          | minecraft:recipes/root                            |
